[1] авиценный | 形容词 | 阿维森纳的；与阿维森纳有关的
[569] топ-менеджер | 名词 | 高管；高层经理
[570] точечный | 形容词 | 点状的；精准的
[571] трансгенный | 形容词 | 转基因的
[572] транслироваться | 动词 | 被转播；被传播
[573] трансфер | 名词 | 转会；转运
[574] трахаться | 动词 | 性交（粗俗）；折腾
[575] тренажерный | 形容词 | 健身的；训练器的
[576] тренд | 名词 | 趋势；潮流
[577] трехсотлетие | 名词 | 三百周年
[578] триллер | 名词 | 惊悚片；恐怖片
[579] трудоголик | 名词 | 工作狂
[580] тунисский | 形容词 | 突尼斯的
[581] турагентство | 名词 | 旅行社
[582] турфирма | 名词 | 旅游公司
[583] тэффи | 名词 | 捷斐奖（TEFI电视奖）
[584] угораздить | 动词 | 致使（常用于不幸）
[585] уделяться-уделиться | 动词 | 被给予；受关注
[586] удивленными | 形容词 | 惊讶的（工具格）
[587] указываться | 动词 | 被指出；被标明
[588] уничтожаться | 动词 | 被消灭；被摧毁
[589] управленец | 名词 | 管理者；领导干部
[590] управлень | 名词 | 管理（截短/口语）
[591] успокаивающе | 副词 | 安抚地；令人平静地
[592] устальной | 形容词 | 疲倦的（待核）
[593] устарый | 形容词 | 旧的（词形残缺，待核）
[594] ут | 其他 | 词形残缺，待人工核对
[595] утнетенный | 形容词 | 被压迫的；抑郁的
[596] учебно-тренировочный | 形容词 | 教学训练的
[597] уш | 其他 | 词形残缺，待人工核对
[598] фабричонка | 名词 | 小工厂；破厂
[599] факсимильный | 形容词 | 传真式的；摹真的
[600] фатх-али-ша | 名词 | 法特赫-阿里-沙阿（君主）
[601] феррар | 名词 | 费拉拉（意大利地名）
[602] финансово | 副词 | 在财务上
[603] фотоматериал | 名词 | 摄影材料
[604] фрилансер | 名词 | 自由职业者
[605] футуролог | 名词 | 未来学家
[606] футурологический | 形容词 | 未来学的
[607] халявщик | 名词 | 白嫖党；蹭便宜者
[608] харизматический | 形容词 | 有魅力的
[609] хип-хоп-проект | 名词 | 嘻哈项目；说唱企划
[610] хитрук | 名词 | 希特鲁克（动画导演姓氏/诙谐称呼）
[611] хорьковый | 形容词 | 貂的；霍里科夫的（待核）
[612] христианские | 形容词 | 基督教的（复数）
[613] хэйлунцзянский | 形容词 | 黑龙江的
[614] хэппи | 名词 | 幸福；快乐（happy音译）
[615] цвать | 动词 | 词形残缺，待人工核对
[616] ценност | 名词 | 价值（截短）
[617] ценовой | 形容词 | 价格的；价位的
[618] человек-труженик | 名词 | 劳动者；勤恳的人
[619] челябинский | 形容词 | 车里雅宾斯克的
[620] ченслером | 专有名词 | 钱塞勒的（工具格）
[621] четырехдневный | 形容词 | 四天的
[622] чеховский | 形容词 | 契诃夫的
[623] чудненький | 形容词 | 怪可爱的；奇巧的
[624] чудь | 名词 | 楚德人（古民族）；楚德湖
[625] чей-либо | 代词 | 任何人的；某人的
[626] шаляпин | 专有名词 | 夏里亚宾（歌唱家专名）
[627] шая | 其他 | 词形残缺，待人工核对
[628] шейпинговый | 形容词 | 形体塑身的；舍宾的
[629] шестидесятник | 名词 | 六十年代人；六旬老者
[630] шугать | 动词 | 惊吓（疑似变体，待核）
[631] ыми | 其他 | 词形残缺，形容词词尾
[632] ых | 其他 | 词形残缺，形容词词尾
[633] ьажнераралюблдиетваодрубыть | 动词 | 词形残缺，疑似OCR长串错误
[634] эгль | 名词 | 词形残缺，待人工核对
[635] эголь | 名词 | 词形残缺，待人工核对
[636] эквиваленты | 名词 | 等价物；等值（复数）
[637] экономически | 副词 | 在经济上
[638] эмпатия | 名词 | 共情；同理心
[639] энды | 名词 | 词形残缺，待人工核对
[640] энер | 名词 | 能量（截短，待核）
[641] энциклопедически | 副词 | 百科全书式地
[642] эпатаж | 名词 | 惊世骇俗；标新立异
[643] эты | 其他 | 词形残缺，待人工核对
[644] юзер | 名词 | 用户（user音译）
[645] яндекс | 名词 | Яндекс（俄罗斯搜索引擎）
[646] яс | 名词 | 词形残缺，待人工核对
